
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/04/26	2113.39	2125.78	2102.82	2105.05	13285483	13835975680.00
2001/04/27	2104.03	2120.84	2104.03	2115.10	13625350	11594616832.00
2001/04/30	2117.16	2122.50	2111.95	2119.18	10911782	10858996736.00
2001/05/08	2119.89	2138.03	2119.89	2137.99	8480367	8907720704.00
2001/05/09	2140.55	2142.37	2127.31	2132.89	9719033	10656880640.00
2001/05/10	2134.19	2147.33	2134.19	2147.28	9850558	11340920832.00
2001/05/11	2150.32	2155.42	2144.75	2155.40	13806463	11580806144.00
2001/05/14	2161.61	2178.70	2160.12	2178.46	25253199	17731586048.00
2001/05/15	2184.78	2191.06	2176.78	2191.06	24656101	18665826304.00
2001/05/16	2195.36	2199.53	2187.41	2199.50	18947890	18363619328.00
2001/05/17	2201.98	2205.01	2187.84	2194.64	27912469	18717249536.00
2001/05/18	2194.62	2203.37	2186.64	2203.37	32001432	20012222464.00
2001/05/21	2207.78	2213.75	2202.73	2213.59	33653538	21671124992.00
2001/05/22	2215.77	2218.44	2205.25	2210.33	15254450	15241006080.00
2001/05/23	2210.85	2213.40	2175.27	2197.59	20262686	18279593984.00
2001/05/24	2198.00	2202.84	2192.16	2198.29	14328948	15911448576.00
2001/05/25	2199.66	2204.23	2181.24	2193.57	13580861	14234994688.00
2001/05/28	2194.45	2194.82	2171.68	2179.69	14947150	15746170880.00
2001/05/29	2177.64	2188.76	2176.55	2180.27	12065509	13454568448.00
2001/05/30	2180.62	2211.20	2180.52	2211.20	19024928	15352907776.00
2001/05/31	2217.87	2222.65	2208.88	2214.25	18573078	17550012416.00
2001/06/01	2216.56	2223.26	2212.16	2219.59	17805807	18117668864.00
2001/06/04	2223.91	2229.05	2222.22	2226.77	25639841	19769075712.00
2001/06/05	2229.24	2235.50	2226.81	2234.98	24038723	18306242560.00
2001/06/06	2237.98	2241.08	2224.30	2238.50	16878378	17704816640.00
2001/06/07	2241.01	2242.69	2223.41	2229.81	15404848	15027752960.00
2001/06/08	2229.20	2229.41	2211.75	2223.06	15120424	14879943680.00
2001/06/11	2223.79	2226.61	2206.63	2214.62	15323697	14245826560.00
2001/06/12	2213.54	2223.29	2211.86	2222.95	13822775	14913969152.00
2001/06/13	2227.07	2242.42	2226.87	2242.42	13948554	16182048768.00
2001/06/14	2243.29	2245.43	2201.00	2202.39	17901196	18603638784.00
2001/06/15	2196.68	2212.09	2188.25	2210.97	14649234	16089480192.00
2001/06/18	2211.89	2214.10	2157.12	2167.64	17262697	16784742400.00
2001/06/19	2163.31	2174.21	2158.75	2170.45	9162337	10590191616.00
2001/06/20	2171.01	2180.73	2157.39	2163.12	8067519	8901812224.00
2001/06/21	2164.12	2189.22	2164.09	2189.14	10926355	8684445696.00
2001/06/22	2191.35	2206.51	2188.93	2206.06	12275330	11020004352.00
