-27.034,-8.388,-16.898,1977.859,94.746,90.007,50.309,1.000
-23.067,-5.989,-14.715,1982.296,93.717,92.861,50.596,1.000
-18.919,-3.304,-12.433,1988.497,96.502,94.988,53.151,1.000
-14.596,-0.347,-10.015,1996.218,96.697,95.639,55.869,1.000
-10.971,2.041,-7.604,2001.662,97.702,96.967,56.096,1.000
-9.112,2.824,-5.518,2000.671,93.492,95.963,51.643,-1.000
-5.962,4.935,-3.427,2006.651,94.543,95.246,56.934,1.000
-3.109,6.840,-1.374,2011.967,93.658,93.898,57.927,1.000
-1.026,8.069,0.515,2014.722,95.337,94.513,57.085,-1.000
1.923,10.209,2.454,2022.018,95.329,94.775,61.274,1.000
4.945,12.480,4.459,2029.942,96.993,95.886,63.429,1.000
8.899,15.718,6.711,2042.091,99.938,97.420,67.764,1.000
13.582,19.722,9.313,2057.237,99.946,98.959,71.497,1.000
14.384,19.977,11.446,2056.002,88.470,96.118,59.551,-1.000
17.748,22.792,13.715,2067.294,87.216,91.877,66.077,1.000
21.567,26.096,16.191,2080.613,87.202,87.630,68.678,1.000
24.283,28.356,18.624,2089.365,97.075,90.498,68.554,-1.000
25.718,29.392,20.778,2093.460,95.230,93.169,66.773,-1.000
27.436,30.742,22.771,2099.897,95.217,95.841,68.642,1.000
29.452,32.417,24.700,2108.291,96.399,95.615,70.612,1.000
30.533,33.200,26.400,2113.211,97.583,96.399,69.833,-1.000
28.453,30.883,27.297,2105.711,86.546,93.509,58.715,-1.000
28.245,30.444,27.926,2108.007,81.911,88.680,63.008,1.000
27.441,29.436,28.228,2108.205,76.192,81.550,61.745,-1.000
27.197,29.003,28.383,2111.256,82.275,80.126,63.472,1.000
27.582,29.212,28.549,2116.994,86.806,81.758,65.594,1.000
27.803,29.273,28.693,2121.793,93.183,87.422,66.151,1.000
27.930,29.256,28.806,2126.125,95.523,91.838,66.824,1.000
28.558,29.750,28.995,2132.550,96.086,94.931,68.902,1.000
30.531,31.593,29.514,2144.383,97.335,96.315,72.816,1.000
32.416,33.360,30.283,2155.146,99.809,97.743,74.149,1.000
33.197,34.038,31.034,2160.950,97.385,98.177,72.327,-1.000
33.454,34.205,31.668,2164.924,95.058,97.418,72.383,1.000
31.636,32.315,31.798,2160.726,85.912,92.785,63.376,-1.000
29.699,30.314,31.501,2157.290,78.389,86.453,62.596,-1.000
29.099,29.652,31.131,2160.250,76.113,80.138,66.281,1.000
24.549,25.061,29.917,2146.560,59.799,71.434,50.343,-1.000
19.577,20.055,27.945,2132.723,38.155,58.022,46.707,-1.000
16.261,16.703,25.696,2126.849,14.754,37.569,49.501,1.000
13.802,14.212,23.399,2124.293,14.138,22.349,50.633,1.000
13.220,13.594,21.438,2128.858,27.652,18.848,55.575,1.000
12.205,12.549,19.661,2130.202,35.361,25.717,53.997,-1.000
12.420,12.733,18.275,2135.895,47.539,36.851,57.652,1.000
13.094,13.378,17.296,2142.397,55.083,45.994,59.602,1.000
15.312,15.567,16.950,2154.418,74.831,59.151,64.590,1.000
17.881,18.108,17.182,2166.632,88.898,72.937,66.989,1.000
20.363,20.564,17.858,2177.588,99.435,87.721,68.527,1.000
21.688,21.867,18.660,2183.272,96.607,94.980,66.603,-1.000
23.175,23.334,19.595,2189.971,96.072,97.371,68.323,1.000
24.892,25.031,20.682,2197.844,96.034,96.238,70.255,1.000
25.693,25.816,21.709,2202.006,97.079,96.395,68.813,-1.000
25.011,25.122,22.392,2200.534,91.539,94.884,63.343,-1.000
24.248,24.347,22.783,2199.786,85.280,91.299,63.515,1.000
22.997,23.087,22.843,2197.714,79.206,85.342,61.426,-1.000
20.648,20.730,22.421,2191.706,71.107,78.531,55.633,-1.000
18.618,18.693,21.675,2187.894,62.312,70.875,55.821,1.000
19.283,19.350,21.210,2195.663,67.449,66.956,64.449,1.000
19.828,19.887,20.945,2201.858,77.145,68.969,65.171,1.000
20.455,20.507,20.858,2207.769,89.875,78.157,66.456,1.000
21.285,21.331,20.952,2214.103,91.826,86.282,68.158,1.000
22.349,22.388,21.240,2221.062,96.032,92.578,70.029,1.000
23.208,23.242,21.640,2226.875,97.164,95.007,70.821,1.000
22.923,22.953,21.903,2227.853,92.443,95.213,66.172,-1.000
21.900,21.927,21.908,2226.255,83.500,91.036,62.728,-1.000
20.176,20.200,21.566,2222.377,71.563,82.502,58.620,-1.000
19.260,19.282,21.109,2222.568,68.342,74.468,61.313,1.000
19.876,19.894,20.866,2229.185,77.430,72.445,66.759,1.000
16.938,16.956,20.084,2220.254,71.154,72.309,50.896,-1.000
15.129,15.144,19.096,2217.159,63.744,70.776,53.449,1.000
10.082,10.097,17.296,2200.653,34.508,56.469,41.666,-1.000
6.237,6.252,15.087,2190.585,25.659,41.304,42.551,1.000
2.569,2.583,12.587,2181.430,11.267,23.812,40.812,-1.000
1.741,1.755,10.420,2184.000,19.382,18.770,48.808,1.000
2.423,2.435,8.823,2191.353,32.824,21.158,53.232,1.000
4.854,4.865,8.031,2204.299,58.140,36.782,58.712,1.000
6.975,6.984,7.822,2214.063,74.918,55.294,59.433,1.000
8.256,8.264,7.910,2219.315,83.886,72.315,58.219,-1.000
8.323,8.330,7.994,2219.293,79.757,79.520,54.835,-1.000
